city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Jaipur,2025-01-13 07:15:01,4,741.01,6.51,108.72,8.82,70.49,76.34,16.6,63,success
Patna,2025-01-13 07:15:04,5,894.55,7.63,134.47,15.5,127.21,137.12,20.97,60,success
Delhi,2025-01-13 08:20:02,5,1108.17,28.45,103,43.87,119.95,144.57,14.06,82,success
Mumbai,2025-01-13 08:20:04,5,1922.61,51.41,188.83,74.39,215.92,266.15,31.03,40,success
Chennai,2025-01-13 08:20:06,2,480.65,5.83,79.39,8.35,5.62,8.92,26.89,84,success
Kolkata,2025-01-13 08:20:08,5,881.2,9.51,203.13,51.98,202.45,224.07,25.96,47,success
Bengaluru,2025-01-13 08:20:11,2,500.68,11.82,70.1,6.74,5.22,6.17,25.15,71,success
Ahmedabad,2025-01-13 08:20:13,3,554.09,7.71,135.9,23.37,48.18,58.72,20.04,45,success
Lucknow,2025-01-13 08:20:15,5,667.57,5.48,131.61,21.22,115.61,123.13,22.37,39,success
Hyderabad,2025-01-13 08:20:17,4,473.98,7.97,128.75,15.5,56.03,64.21,27.19,47,success
Jaipur,2025-01-13 08:20:20,4,654.22,4.97,124.45,8.35,63.51,68.49,16.62,63,success
Patna,2025-01-13 08:20:22,5,787.74,4.41,151.63,12.16,132.21,140.07,21.97,53,success
Delhi,2025-01-13 09:16:36,5,1028.06,28.1,113.01,52.45,118.21,140.97,16.06,67,success
Mumbai,2025-01-13 09:16:38,5,1602.17,40.44,194.55,53.41,178.94,227.9,32.03,37,success
Chennai,2025-01-13 09:16:40,2,487.33,6.17,77.96,8.46,6.2,9.4,27.67,81,success
Kolkata,2025-01-13 09:16:42,5,834.47,8.74,203.13,46.25,186.9,206.37,25.96,47,success
Bengaluru,2025-01-13 09:16:45,2,494,11.48,74.39,6.56,5.27,6.15,25.43,70,success
Ahmedabad,2025-01-13 09:16:47,4,554.09,7.8,141.62,23.6,47.91,58.21,22.04,43,success
